subroot_map_162103,-0.0485571,0.0238887,-0.0521352
subroot_map_50013794,0.0352651,-0.00433302,0.0207231
occupation_教育,0.288808,0.167226,0.0301088
subroot_map_210605,0.0659131,-0.0097286,0.0387574
subroot_map_50008898,-0.0475349,0.0238812,-0.0516597
subroot_map_121390006,0.00879732,-0.000646126,0.00503102
subroot_map_50011979,0.00787737,-0.000584507,0.00458203
subroot_map_50008900,-0.0459107,0.0236201,-0.0507027
subroot_map_50001705,0.0385627,-0.00697718,0.0205801
subroot_map_50025114,-0.00422024,0.00179317,-0.00439492
subroot_map_121412004,-0.045945,0.023199,-0.0505412
subroot_map_50008557,-0.0334494,0.0193362,-0.0426979
subroot_map_50018327,-0.0430015,0.0209161,-0.0484573
subroot_map_50011978,0.00774045,-0.000522581,0.00452941
subroot_map_50010518,-0.0406679,0.0264821,-0.0488283
subroot_map_50010539,-0.0440194,0.0250238,-0.04994
subroot_map_50012343,-0.039474,0.0259414,-0.0479081
subroot_map_123016002,-0.0417328,0.0216883,-0.0479346
subroot_map_50012436,-0.0423082,0.0214016,-0.047999
subroot_map_121410037,0.0457905,-0.00684174,0.0242839
occupation_大学,0.225809,0.288888,0.00309828
subroot_map_50010808,0.0545319,-0.00503855,0.0268034
subroot_map_124470013,-0.0353812,0.0223369,-0.0441599
subroot_map_50000852,-0.0414704,0.0226142,-0.0478263
subroot_map_50012165,-0.0488089,0.0234313,-0.0523769
subroot_map_50012042,-0.0497875,0.0246681,-0.0532386
subroot_map_50000049,-0.0449029,0.0222834,-0.0500574
subroot_map_50010550,0.043882,-0.0073986,0.0228198
subroot_map_50000141,-0.0478625,0.0231587,-0.0517929
subroot_map_50012341,-0.031793,0.0293181,-0.0442688
subroot_map_50023686,-0.0411089,0.0217965,-0.0478196
subroot_map_50020486,-0.0386056,0.0208443,-0.0460608
subroot_map_50002777,-0.0463327,0.0226897,-0.0508645
subroot_map_213002,-0.047856,0.0233176,-0.0517454
subroot_map_50010796,-0.0322766,0.0207204,-0.0427534
subroot_map_50012770,-0.0359724,0.0213703,-0.0444182
subroot_map_50012404,-0.0324315,0.0215297,-0.0392002
subroot_map_50014757,-0.037845,0.0205868,-0.045048
subroot_map_50020491,0.0549227,-0.0103593,0.0312725
subroot_map_50019601,-0.042904,0.021428,-0.0482803
subroot_map_50019935,-0.0377601,0.0202635,-0.0453651
subroot_map_50012135,-0.036509,0.0204407,-0.0441461
subroot_map_50021057,-0.0393169,0.0228314,-0.0465175
subroot_map_50012482,0.0338087,-0.00105875,0.00841438
subroot_map_50014248,-0.0474372,0.0249331,-0.0520793
subroot_map_50007116,-0.041604,0.0226607,-0.047873
subroot_map_50015292,0.064127,-0.0133363,0.0383267
subroot_map_50008876,-0.0444031,0.0225966,-0.0494355
subroot_map_50011165,-0.0448134,0.0254391,-0.0504009
subroot_map_3035,-0.0505626,0.0240272,-0.0533051
subroot_map_122666001,0.00762042,-0.00150309,0.00396608
subroot_map_1624,-0.049551,0.0244735,-0.0529055
subroot_map_50019780,0.044351,-0.00613353,0.0266918
subroot_map_50010790,0.018708,-0.00134672,0.00980104
subroot_map_50012487,0.0573151,-0.0111871,0.0328548
subroot_map_124246008,0.0321454,-0.00430034,0.0140189
